material,year,country,route,energy_MJ_per_kg,emissions_kgCO2e_per_kg,mining_energy_MJ_per_kg,smelting_energy_MJ_per_kg,refining_energy_MJ_per_kg,fabrication_energy_MJ_per_kg,recycled_content_frac,recycling_efficiency_frac,recycled_output_kg_per_kg,loop_closing_potential_USD_per_kg,reuse_potential_score,repairability_score,product_lifetime_years,end_of_life_route,transport_distance_km,transport_mode,electricity_grid_renewable_pct,renewable_electricity_frac,material_criticality_score,economic_value_USD_per_kg,circularity_index_default,missing_data_flag,V_kg,recovered_kg,W_kg,LFI,lifespan_clipped,F,MCI_raw,MCI,MCI_percent
Copper,2022,Canada,Primary,17.997,4.527,3.808,8.397,4.139,1.653,0.045,0.442,0.02,0.085,0.145,0.56,10.8,Recycled,272.4,Ship,51.6,0.516,0.437,4.262,0.325,0,0.955,0.02,0.98,0.9675,10.8,1.25,-0.2093750000000001,0.0,0.0
Lithium,2020,India,Secondary,23.94,2.663,5.087,3.271,2.035,13.547,0.586,0.776,0.454,11.321,0.28,0.189,2.4,Landfill,129.6,Truck,35.5,0.355,0.055,24.936,0.511,0,0.414,0.454,0.546,0.48,2.4,5.625,-1.6999999999999997,0.0,0.0
Nickel,2024,India,Primary,74.134,7.512,28.585,30.14,9.047,6.362,0.048,0.3,0.014,0.237,0.285,0.242,4.6,Recycled,879.8,Rail,20.1,0.201,0.372,16.919,0.209,0,0.952,0.014,0.986,0.969,4.6,2.934783,-1.8438047269999998,0.0,0.0
Steel,2019,China,Secondary,6.692,0.98,0.181,1.068,0.486,4.957,0.891,0.843,0.751,0.617,0.683,0.274,4.7,Landfill,1576.5,Truck,52.4,0.524,0.389,0.822,0.71,0,0.109,0.751,0.249,0.179,4.7,2.87234,0.48585114000000007,0.485851,48.59
Nickel,2024,China,Primary,59.879,7.513,18.274,27.713,7.453,6.439,0.011,0.307,0.003,0.062,0.189,0.07,2.6,Recycled,306.6,Rail,51.6,0.516,0.384,20.72,0.233,0,0.989,0.003,0.997,0.993,2.6,5.192308,-4.155961843999999,0.0,0.0
Aluminium,2020,Brazil,Primary,58.923,13.298,7.993,39.754,6.495,4.681,0.045,0.555,0.025,0.049,0.524,0.355,5.5,Landfill,24.7,Truck,21.8,0.218,0.437,1.963,0.335,1,0.955,0.025,0.975,0.965,5.5,2.454545,-1.368635925,0.0,0.0
Aluminium,2024,USA,Primary,72.398,13.199,9.775,46.929,6.141,9.554,0.015,0.3,0.005,0.008,0.628,0.401,16.1,Recycled,143.5,Truck,53.1,0.531,0.427,1.557,0.334,0,0.985,0.005,0.995,0.99,16.1,0.838509,0.16987609000000004,0.169876,16.99
Copper,2019,Germany,Primary,28.984,5.522,7.685,13.259,5.29,2.75,0.036,0.436,0.016,0.087,0.75,0.331,5.5,Recycled,3.3,Rail,26.9,0.269,0.16,5.462,0.339,0,0.964,0.016,0.984,0.974,5.5,2.454545,-1.3907268299999997,0.0,0.0
Steel,2018,Germany,Primary,19.07,2.235,6.539,6.539,2.885,3.107,0.019,0.3,0.006,0.005,0.495,0.237,12.8,Recycled,32.0,Ship,54.0,0.54,0.17,0.751,0.301,0,0.981,0.006,0.994,0.9875,12.8,1.054688,-0.04150440000000022,0.0,0.0
Steel,2018,Brazil,Primary,18.626,1.961,5.835,7.024,3.182,2.585,0.01,0.3,0.003,0.003,0.636,0.511,11.7,Landfill,299.5,Truck,45.9,0.459,0.506,0.942,0.331,0,0.99,0.003,0.997,0.9935,11.7,1.153846,-0.14634600099999995,0.0,0.0
Nickel,2019,Chile,Primary,68.999,7.92,21.652,32.051,6.66,8.636,0.062,0.386,0.024,0.369,0.177,0.198,5.0,Cascaded,1319.2,Truck,41.5,0.415,0.098,15.355,0.261,0,0.938,0.024,0.976,0.957,5.0,2.7,-1.5838999999999999,0.0,0.0
Aluminium,2019,Chile,Primary,54.675,13.308,9.696,35.274,5.372,4.334,0.023,0.3,0.007,0.011,0.493,0.38,12.4,Recycled,19.3,Truck,66.1,0.661,0.297,1.532,0.34,0,0.977,0.007,0.993,0.985,12.4,1.08871,-0.07237935000000006,0.0,0.0
Cobalt,2020,Germany,Secondary,19.991,3.18,2.543,3.294,1.52,12.634,0.544,0.748,0.407,12.032,0.327,0.073,1.1,Landfill,1149.9,Ship,0.0,0.0,0.556,29.563,0.417,0,0.456,0.407,0.593,0.5245,1.1,12.272727,-5.4370453114999995,0.0,0.0
Cobalt,2018,India,Secondary,25.898,3.575,4.906,3.121,2.282,15.589,0.765,0.863,0.661,22.746,0.273,0.384,4.2,Recycled,449.4,Truck,45.4,0.454,0.4,34.411,0.62,0,0.235,0.661,0.339,0.287,4.2,3.214286,0.07749991800000011,0.0775,7.75
Cobalt,2021,Germany,Primary,93.296,9.141,37.941,35.325,11.175,8.855,0.029,0.36,0.01,0.276,0.252,0.077,4.4,Downcycled,234.0,Truck,31.0,0.31,0.297,27.649,0.223,0,0.971,0.01,0.99,0.9805,4.4,3.068182,-2.0083524510000004,0.0,0.0
Aluminium,2019,Brazil,Secondary,6.582,0.965,0.7,0.449,0.344,5.09,0.798,0.773,0.616,0.721,0.686,0.551,12.7,Recycled,105.3,Truck,53.6,0.536,0.176,1.17,0.697,0,0.202,0.616,0.384,0.293,12.7,1.062992,0.6885433440000001,0.688543,68.85
Lithium,2021,Australia,Secondary,28.556,2.724,5.285,3.889,2.54,16.841,0.584,0.855,0.499,22.129,0.309,0.301,0.5,Landfill,166.9,Truck,75.0,0.75,0.301,44.346,0.629,0,0.416,0.499,0.501,0.4585,0.5,27.0,-11.3795,0.0,0.0
Steel,2018,Canada,Secondary,6.058,0.892,0.602,0.837,0.611,4.008,0.739,0.868,0.642,0.505,0.56,0.554,4.5,Recycled,16.0,Truck+Ship,87.8,0.878,0.137,0.786,0.76,0,0.261,0.642,0.358,0.3095,4.5,3.0,0.07150000000000001,0.0715,7.15
Aluminium,2024,China,Primary,76.896,12.624,12.32,51.671,7.62,5.284,0.052,0.3,0.016,0.026,0.423,0.391,8.2,Landfill,80.6,Ship,0.0,0.0,0.073,1.594,0.206,0,0.948,0.016,0.984,0.966,8.2,1.646341,-0.5903654060000001,0.0,0.0
Cobalt,2020,Canada,Primary,84.837,9.121,30.99,32.84,14.839,6.168,0.04,0.3,0.012,0.385,0.19,0.142,6.5,Recycled,89.6,Ship,16.6,0.166,0.441,32.058,0.176,0,0.96,0.012,0.988,0.974,6.5,2.076923,-1.0229230019999997,0.0,0.0
Steel,2023,Australia,Primary,19.257,2.502,5.626,7.538,2.855,3.238,0.035,0.3,0.01,0.008,0.54,0.55,8.4,Landfill,32.9,Truck+Ship,47.4,0.474,0.227,0.821,0.33,0,0.965,0.01,0.99,0.9775,8.4,1.607143,-0.5709822824999999,0.0,0.0
Nickel,2021,USA,Primary,79.437,8.265,27.476,35.936,7.354,8.67,0.019,0.3,0.006,0.119,0.111,0.253,1.7,Downcycled,126.3,Ship,60.5,0.605,0.478,19.828,0.258,0,0.981,0.006,0.994,0.9875,1.7,7.941176,-6.8419113,0.0,0.0
Nickel,2020,China,Primary,70.47,7.039,26.035,33.018,6.83,4.587,0.023,0.3,0.007,0.114,0.333,0.429,9.0,Recycled,33.5,Truck+Ship,33.2,0.332,0.246,16.272,0.255,0,0.977,0.007,0.993,0.985,9.0,1.5,-0.47750000000000004,0.0,0.0
Steel,2023,India,Secondary,6.44,0.989,0.671,1.313,0.517,3.939,0.757,0.8,0.606,0.379,0.797,0.497,7.2,Recycled,44.3,Truck,40.3,0.403,0.485,0.626,0.679,0,0.243,0.606,0.394,0.3185,7.2,1.875,0.4028125,0.402812,40.28
Steel,2020,Chile,Secondary,6.461,0.773,0.655,0.86,0.51,4.436,0.603,0.823,0.496,0.357,0.537,0.52,10.5,Recycled,149.0,Truck,19.8,0.198,0.114,0.72,0.57,0,0.397,0.496,0.504,0.4505,10.5,1.285714,0.420785843,0.420786,42.08
Aluminium,2020,India,Secondary,5.587,0.611,0.243,0.43,0.645,4.269,0.864,0.801,0.692,0.979,0.537,0.638,5.1,Incinerated,292.8,Air,33.7,0.337,0.189,1.415,0.668,0,0.136,0.692,0.308,0.222,5.1,2.647059,0.41235290199999997,0.412353,41.24
Copper,2019,Germany,Secondary,8.893,1.191,0.748,1.296,0.808,6.041,0.8,0.871,0.696,3.399,0.732,0.37,3.8,Recycled,89.1,Air,31.0,0.31,0.064,4.884,0.67,0,0.2,0.696,0.304,0.252,3.8,3.552632,0.104736736,0.104737,10.47
Steel,2021,China,Secondary,6.841,0.536,0.496,1.107,0.401,4.836,0.746,0.858,0.64,0.379,0.744,0.381,8.5,Cascaded,209.4,Ship,21.6,0.216,0.126,0.592,0.637,0,0.254,0.64,0.36,0.307,8.5,1.588235,0.512411855,0.512412,51.24
Aluminium,2019,Chile,Primary,66.244,11.78,8.113,41.517,8.494,8.12,0.047,0.3,0.014,0.029,0.187,0.215,3.5,Recycled,388.0,Truck,27.6,0.276,0.162,2.096,0.206,0,0.953,0.014,0.986,0.9695,3.5,3.857143,-2.7395001385000004,0.0,0.0
Lithium,2019,China,Secondary,24.112,2.314,4.269,4.771,2.303,12.768,0.852,0.869,0.74,21.158,0.157,0.109,2.7,Landfill,52.9,Truck,42.5,0.425,0.187,28.592,0.593,0,0.148,0.74,0.26,0.204,2.7,5.0,-0.020000000000000018,0.0,0.0
Copper,2023,Canada,Primary,27.272,4.262,6.39,11.868,5.606,3.408,0.031,0.34,0.011,0.064,0.706,0.607,6.6,Recycled,392.9,Truck,64.4,0.644,0.184,5.849,0.405,0,0.969,0.011,0.989,0.979,6.6,2.045455,-1.002500445,0.0,0.0
Cobalt,2019,Canada,Secondary,19.622,2.489,2.085,3.329,1.714,12.494,0.623,0.88,0.548,17.584,0.334,0.146,10.8,Recycled,84.8,Truck,61.8,0.618,0.153,32.088,0.608,0,0.377,0.548,0.452,0.4145,10.8,1.25,0.48187500000000005,0.481875,48.19
Zinc,2018,Australia,Primary,27.775,3.278,8.03,10.39,4.893,4.461,0.022,0.472,0.011,0.024,0.826,0.463,9.8,Recycled,186.5,Air,3.8,0.038,0.686,2.198,0.325,1,0.978,0.011,0.989,0.9835,9.8,1.377551,-0.3548214085000001,0.0,0.0
Cobalt,2023,Chile,Primary,111.66,12.466,46.732,35.688,18.522,10.718,0.025,0.3,0.007,0.261,0.324,0.307,4.3,Landfill,219.8,Truck,58.2,0.582,0.493,37.333,0.292,0,0.975,0.007,0.993,0.984,4.3,3.139535,-2.08930244,0.0,0.0
Lithium,2021,Germany,Primary,74.834,6.93,39.15,13.864,9.151,12.669,0.008,0.3,0.002,0.128,0.222,0.245,4.6,Recycled,49.2,Rail,61.0,0.61,0.296,63.99,0.272,0,0.992,0.002,0.998,0.995,4.6,2.934783,-1.920109085,0.0,0.0
Aluminium,2021,India,Secondary,6.182,0.749,0.442,0.439,0.323,4.978,0.71,0.785,0.557,0.707,0.861,0.758,10.0,Landfill,457.4,Truck,7.3,0.073,0.201,1.27,0.633,0,0.29,0.557,0.443,0.3665,10.0,1.35,0.505225,0.505225,50.52
Copper,2023,Germany,Primary,28.498,3.155,7.067,13.845,5.399,2.187,0.04,0.372,0.015,0.097,0.639,0.412,9.5,Recycled,330.6,Truck+Ship,26.0,0.26,0.303,6.449,0.311,0,0.96,0.015,0.985,0.9725,9.5,1.421053,-0.3819740425,0.0,0.0
Aluminium,2018,Canada,Primary,59.004,15.168,9.143,37.156,7.2,5.505,0.019,0.322,0.006,0.011,0.461,0.625,6.7,Recycled,93.9,Rail,30.6,0.306,0.312,1.806,0.294,0,0.981,0.006,0.994,0.9875,6.7,2.014925,-0.9897384375,0.0,0.0
Aluminium,2018,India,Secondary,5.727,0.91,0.114,0.686,0.325,4.603,0.663,0.846,0.561,0.765,0.679,0.617,8.9,Landfill,17.8,Ship,5.4,0.054,0.047,1.363,0.594,0,0.337,0.561,0.439,0.388,8.9,1.516854,0.41146064800000004,0.411461,41.15
Nickel,2019,USA,Primary,57.092,8.397,19.44,24.411,6.355,6.887,0.034,0.3,0.01,0.178,0.409,0.435,3.6,Landfill,485.2,Truck,33.9,0.339,0.282,17.815,0.271,1,0.966,0.01,0.99,0.978,3.6,3.75,-2.6675,0.0,0.0
Cobalt,2023,Australia,Primary,90.297,12.406,34.301,33.181,13.169,9.645,0.053,0.407,0.022,0.685,0.228,0.287,5.7,Recycled,529.8,Truck,41.7,0.417,0.194,31.153,0.282,0,0.947,0.022,0.978,0.9625,5.7,2.368421,-1.2796052125000004,0.0,0.0
Nickel,2019,Australia,Secondary,18.648,3.011,1.788,2.767,0.725,13.367,0.654,0.772,0.505,8.83,0.219,0.334,5.4,Landfill,51.1,Ship,0.0,0.0,0.608,17.485,0.461,0,0.346,0.505,0.495,0.4205,5.4,2.5,-0.05125000000000002,0.0,0.0
Steel,2024,China,Primary,18.976,1.833,5.371,8.726,1.829,3.05,0.012,0.3,0.004,0.003,0.562,0.276,9.5,Recycled,293.2,Ship,50.9,0.509,0.116,0.852,0.307,0,0.988,0.004,0.996,0.992,9.5,1.421053,-0.40968457599999986,0.0,0.0
Aluminium,2023,Chile,Primary,58.301,12.278,5.327,42.261,5.602,5.111,0.011,0.493,0.006,0.011,0.31,0.513,5.7,Landfill,87.7,Truck+Ship,27.4,0.274,0.321,1.907,0.303,0,0.989,0.006,0.994,0.9915,5.7,2.368421,-1.3482894215,0.0,0.0
Zinc,2024,Australia,Primary,27.29,3.175,7.54,11.206,4.077,4.466,0.008,0.453,0.004,0.01,0.475,0.492,2.7,Downcycled,547.8,Ship,19.2,0.192,0.166,2.397,0.297,0,0.992,0.004,0.996,0.994,2.7,5.0,-3.9699999999999998,0.0,0.0
Nickel,2023,Australia,Primary,67.436,7.015,21.303,29.726,8.077,8.33,0.044,0.385,0.017,0.355,0.13,0.427,1.5,Recycled,65.1,Truck,39.0,0.39,0.377,20.887,0.267,0,0.956,0.017,0.983,0.9695,1.5,9.0,-7.7255,0.0,0.0
Steel,2022,USA,Secondary,6.378,1.138,0.49,1.281,0.342,4.264,0.656,0.839,0.55,0.31,0.802,0.516,7.1,Recycled,76.4,Ship,77.2,0.772,0.329,0.564,0.742,0,0.344,0.55,0.45,0.397,7.1,1.901408,0.24514102399999993,0.245141,24.51
Aluminium,2018,Chile,Primary,51.683,14.001,7.709,34.815,3.782,5.377,0.007,0.3,0.002,0.003,0.395,0.458,12.4,Recycled,905.8,Ship,39.4,0.394,0.26,1.5,0.276,0,0.993,0.002,0.998,0.9955,12.4,1.08871,-0.08381080500000015,0.0,0.0
Aluminium,2021,USA,Primary,46.385,13.812,5.824,33.063,3.732,3.765,0.018,0.3,0.005,0.008,0.371,0.623,4.3,Landfill,48.3,Truck,15.1,0.151,0.152,1.647,0.243,0,0.982,0.005,0.995,0.9885,4.3,3.139535,-2.1034303475000002,0.0,0.0
Nickel,2021,Brazil,Primary,65.24,7.05,24.324,27.76,6.895,6.262,0.03,0.339,0.01,0.209,0.475,0.094,2.4,Recycled,6.0,Truck,3.0,0.03,0.535,20.943,0.196,0,0.97,0.01,0.99,0.98,2.4,5.625,-4.5125,0.0,0.0
Cobalt,2023,Brazil,Primary,108.554,8.889,44.491,36.732,17.06,10.271,0.025,0.3,0.007,0.263,0.437,0.117,0.5,Recycled,420.2,Ship,20.9,0.209,0.381,37.583,0.215,0,0.975,0.007,0.993,0.984,0.5,27.0,-25.567999999999998,0.0,0.0
Steel,2020,USA,Primary,20.735,2.13,6.126,8.418,2.757,3.433,0.028,0.3,0.008,0.008,0.707,0.752,5.1,Recycled,66.5,Truck+Ship,34.3,0.343,0.295,1.015,0.347,0,0.972,0.008,0.992,0.982,5.1,2.647059,-1.5994119379999998,0.0,0.0
Zinc,2018,India,Primary,31.04,2.738,8.935,12.86,4.468,4.777,0.044,0.413,0.018,0.042,0.154,0.552,2.0,Cascaded,319.0,Truck,44.6,0.446,0.198,2.349,0.302,0,0.956,0.018,0.982,0.969,2.0,6.75,-5.54075,0.0,0.0
Aluminium,2024,Chile,Primary,74.966,12.925,10.532,48.141,8.724,7.569,0.048,0.3,0.014,0.031,0.72,0.425,12.6,Landfill,228.0,Truck,52.3,0.523,0.415,2.248,0.357,0,0.952,0.014,0.986,0.969,12.6,1.071429,-0.03821470100000002,0.0,0.0
Zinc,2021,Germany,Secondary,10.027,1.062,1.258,1.212,0.909,6.648,0.799,0.921,0.736,1.493,0.704,0.439,1.1,Landfill,418.3,Truck+Ship,31.6,0.316,0.313,2.029,0.689,0,0.201,0.736,0.264,0.2325,1.1,12.272727,-1.8534090275000001,0.0,0.0
Steel,2022,Australia,Primary,23.453,2.575,6.763,10.38,3.068,3.241,0.0,0.342,0.0,0.0,0.207,0.585,10.6,Recycled,316.2,Ship,10.6,0.106,0.158,1.031,0.213,0,1.0,0.0,1.0,1.0,10.6,1.273585,-0.27358499999999997,0.0,0.0
Cobalt,2021,Germany,Primary,71.924,13.498,29.237,23.196,9.953,9.538,0.061,0.3,0.018,0.501,0.488,0.335,4.4,Recycled,463.7,Ship,59.9,0.599,0.28,27.826,0.332,0,0.939,0.018,0.982,0.9605,4.4,3.068182,-1.9469888110000002,0.0,0.0
Lithium,2019,Australia,Primary,95.592,10.63,50.339,18.816,11.217,15.22,0.017,0.466,0.008,0.378,0.224,0.431,0.5,Recycled,281.1,Ship,40.9,0.409,0.319,47.27,0.303,0,0.983,0.008,0.992,0.9875,0.5,27.0,-25.6625,0.0,0.0
Aluminium,2023,China,Secondary,6.048,1.248,0.419,0.866,0.033,4.729,0.781,0.709,0.554,0.677,0.65,0.703,7.0,Cascaded,168.9,Truck+Ship,49.8,0.498,0.268,1.222,0.675,0,0.219,0.554,0.446,0.3325,7.0,1.928571,0.3587501424999999,0.35875,35.88
Copper,2023,China,Secondary,7.088,0.988,0.511,0.612,0.888,5.077,0.549,0.845,0.463,2.247,0.247,0.769,7.5,Recycled,275.7,Ship,67.9,0.679,0.072,4.853,0.641,0,0.451,0.463,0.537,0.494,7.5,1.8,0.11080000000000001,0.1108,11.08
Copper,2020,USA,Primary,30.041,3.114,7.91,12.366,7.243,2.521,0.072,0.3,0.021,0.128,0.579,0.27,5.1,Landfill,379.3,Truck+Ship,22.7,0.227,0.588,6.072,0.267,0,0.928,0.021,0.979,0.9535,5.1,2.647059,-1.5239707565000002,0.0,0.0
Aluminium,2019,Chile,Primary,66.238,14.666,9.978,42.775,6.559,6.926,0.047,0.3,0.014,0.034,0.442,0.586,2.8,Downcycled,247.8,Ship,18.7,0.187,0.668,2.45,0.264,0,0.953,0.014,0.986,0.9695,2.8,4.821429,-3.6743754155,0.0,0.0
Nickel,2021,Chile,Primary,71.273,6.199,27.545,31.258,6.828,5.642,0.016,0.3,0.005,0.077,0.264,0.285,9.9,Landfill,104.9,Truck,12.9,0.129,0.351,15.426,0.188,0,0.984,0.005,0.995,0.9895,9.9,1.363636,-0.34931782200000017,0.0,0.0
Copper,2018,China,Primary,26.455,2.333,6.335,12.508,4.137,3.475,0.007,0.3,0.002,0.013,0.625,0.492,4.5,Recycled,744.2,Truck,31.8,0.318,0.359,6.499,0.298,0,0.993,0.002,0.998,0.9955,4.5,3.0,-1.9865000000000004,0.0,0.0
Steel,2023,Chile,Secondary,7.204,1.144,0.683,1.159,0.537,4.826,0.628,0.898,0.564,0.409,0.473,0.427,9.1,Recycled,232.1,Truck,68.6,0.686,0.379,0.725,0.677,0,0.372,0.564,0.436,0.404,9.1,1.483516,0.4006595359999999,0.40066,40.07
Lithium,2020,USA,Primary,92.793,7.965,44.574,18.468,14.516,15.235,0.009,0.3,0.003,0.146,0.388,0.444,2.2,Recycled,331.7,Rail,44.9,0.449,0.137,48.508,0.285,0,0.991,0.003,0.997,0.994,2.2,6.136364,-5.099545816,0.0,0.0
Aluminium,2018,USA,Primary,55.292,13.964,11.801,34.242,5.188,4.061,0.025,0.3,0.007,0.018,0.784,0.541,11.9,Recycled,141.6,Truck,39.9,0.399,0.179,2.511,0.348,0,0.975,0.007,0.993,0.984,11.9,1.134454,-0.11630273599999996,0.0,0.0
Copper,2022,China,Secondary,8.174,1.02,0.576,0.805,0.836,5.957,0.762,0.747,0.569,2.077,0.758,0.645,12.5,Downcycled,917.1,Truck,52.9,0.529,0.28,3.651,0.699,0,0.238,0.569,0.431,0.3345,12.5,1.08,0.63874,0.63874,63.87
Copper,2018,India,Primary,29.186,4.248,7.844,13.284,6.027,2.031,0.055,0.3,0.017,0.107,0.684,0.235,4.0,Landfill,658.0,Truck,33.7,0.337,0.41,6.322,0.297,0,0.945,0.017,0.983,0.964,4.0,3.375,-2.2535,0.0,0.0
Cobalt,2023,Australia,Secondary,25.719,3.046,3.335,5.494,3.307,13.583,0.839,0.813,0.682,22.34,0.086,0.242,6.3,Recycled,136.4,Ship,81.1,0.811,0.507,32.756,0.653,0,0.161,0.682,0.318,0.2395,6.3,2.142857,0.4867857485000001,0.486786,48.68
Nickel,2024,Brazil,Secondary,19.837,2.341,3.05,2.866,1.374,12.547,0.924,0.874,0.808,13.114,0.391,0.225,5.2,Recycled,79.1,Truck+Ship,72.9,0.729,0.128,16.23,0.72,0,0.076,0.808,0.192,0.134,5.2,2.596154,0.6521153639999999,0.652115,65.21
Cobalt,2024,China,Primary,89.005,10.94,36.821,31.766,13.311,7.107,0.031,0.3,0.009,0.367,0.448,0.381,1.8,Downcycled,157.1,Truck,23.7,0.237,0.202,40.77,0.25,0,0.969,0.009,0.991,0.98,1.8,7.5,-6.35,0.0,0.0
Aluminium,2020,Germany,Primary,67.37,9.787,10.945,43.642,6.251,6.532,0.032,0.3,0.01,0.017,0.34,0.456,5.7,Recycled,199.9,Rail,46.2,0.462,0.698,1.732,0.287,0,0.968,0.01,0.99,0.979,5.7,2.368421,-1.318684159,0.0,0.0
Copper,2022,USA,Secondary,8.431,0.683,0.229,1.033,0.477,6.692,0.876,0.812,0.711,3.383,0.792,0.349,11.3,Recycled,361.1,Truck,53.6,0.536,0.293,4.758,0.724,0,0.124,0.711,0.289,0.2065,11.3,1.19469,0.7532965149999999,0.753297,75.33
Copper,2022,Chile,Secondary,7.318,1.202,0.225,0.931,0.67,5.492,0.828,0.785,0.65,4.208,0.553,0.642,7.3,Recycled,1.2,Truck,0.0,0.0,0.172,6.474,0.59,1,0.172,0.65,0.35,0.261,7.3,1.849315,0.5173287849999999,0.517329,51.73
Zinc,2021,India,Primary,27.645,4.28,7.086,12.763,3.407,4.389,0.033,0.3,0.01,0.021,0.603,0.394,4.3,Landfill,598.7,Truck,57.6,0.576,0.787,2.077,0.343,0,0.967,0.01,0.99,0.9785,4.3,3.139535,-2.0720349975,0.0,0.0
Lithium,2018,Brazil,Primary,77.941,12.147,41.153,15.848,10.409,10.531,0.054,0.541,0.029,1.831,0.088,0.08,2.9,Downcycled,35.5,Rail,44.4,0.444,0.216,63.121,0.286,0,0.946,0.029,0.971,0.9585,2.9,4.655172,-3.4619823620000005,0.0,0.0
Copper,2019,India,Primary,29.366,3.498,7.11,13.837,5.664,2.755,0.059,0.54,0.032,0.177,0.57,0.433,7.8,Landfill,539.1,Truck,3.7,0.037,0.578,5.516,0.313,0,0.941,0.032,0.968,0.9545,7.8,1.730769,-0.6520190105000001,0.0,0.0
Steel,2021,Brazil,Primary,24.099,1.752,6.134,11.504,3.002,3.46,0.005,0.3,0.002,0.002,0.349,0.698,8.6,Recycled,80.6,Truck,0.0,0.0,0.467,0.828,0.213,0,0.995,0.002,0.998,0.9965,8.6,1.569767,-0.5642728155000001,0.0,0.0
Steel,2023,USA,Secondary,6.219,0.779,0.493,0.848,0.315,4.563,0.743,0.792,0.589,0.479,0.375,0.584,8.4,Recycled,186.8,Rail,35.3,0.353,0.247,0.814,0.609,0,0.257,0.589,0.411,0.334,8.4,1.607143,0.46321423799999994,0.463214,46.32
Aluminium,2022,Australia,Secondary,6.5,1.296,0.151,0.418,0.352,5.578,0.727,0.836,0.607,0.694,0.272,0.707,7.5,Cascaded,345.0,Rail,40.2,0.402,0.138,1.143,0.624,0,0.273,0.607,0.393,0.333,7.5,1.8,0.40059999999999996,0.4006,40.06
Lithium,2020,Canada,Primary,89.311,8.881,46.373,17.84,11.789,13.308,0.015,0.319,0.005,0.234,0.285,0.282,3.0,Recycled,152.8,Ship,49.7,0.497,0.549,46.737,0.27,0,0.985,0.005,0.995,0.99,3.0,4.5,-3.455,0.0,0.0
Steel,2024,Brazil,Primary,18.808,1.999,4.458,8.679,2.335,3.336,0.002,0.577,0.001,0.001,0.252,0.46,9.8,Landfill,236.0,Truck,43.1,0.431,0.333,1.078,0.344,0,0.998,0.001,0.999,0.9985,9.8,1.377551,-0.37548467350000014,0.0,0.0
Copper,2019,Germany,Secondary,7.822,1.182,0.628,0.704,0.761,5.729,0.774,0.762,0.59,3.601,0.779,0.545,7.4,Downcycled,49.5,Truck+Ship,0.0,0.0,0.339,6.103,0.593,0,0.226,0.59,0.41,0.318,7.4,1.824324,0.41986496799999995,0.419865,41.99
Copper,2019,Brazil,Primary,28.876,4.049,7.333,11.922,6.262,3.36,0.014,0.448,0.006,0.037,0.543,0.596,10.0,Downcycled,104.0,Rail,27.6,0.276,0.18,6.131,0.334,0,0.986,0.006,0.994,0.99,10.0,1.35,-0.3365,0.0,0.0
Copper,2021,Germany,Primary,24.423,4.578,7.077,10.215,5.124,2.008,0.043,0.438,0.019,0.114,0.629,0.607,7.5,Recycled,183.2,Truck,37.6,0.376,0.661,5.984,0.372,0,0.957,0.019,0.981,0.969,7.5,1.8,-0.7442,0.0,0.0
Lithium,2023,India,Primary,92.716,10.782,43.723,18.327,17.757,12.91,0.05,0.3,0.015,0.789,0.172,0.445,0.5,Landfill,199.7,Truck,17.6,0.176,0.586,52.603,0.208,0,0.95,0.015,0.985,0.9675,0.5,27.0,-25.122500000000002,0.0,0.0
Steel,2024,USA,Secondary,6.326,1.306,0.499,0.982,0.41,4.435,0.743,0.874,0.649,0.509,0.599,0.357,6.3,Downcycled,78.0,Truck,29.4,0.294,0.195,0.785,0.632,1,0.257,0.649,0.351,0.304,6.3,2.142857,0.34857147200000005,0.348571,34.86
Copper,2020,Australia,Primary,25.969,3.623,7.031,11.572,5.04,2.325,0.034,0.3,0.01,0.082,0.577,0.367,6.7,Landfill,210.6,Truck,47.2,0.472,0.2,8.185,0.316,0,0.966,0.01,0.99,0.978,6.7,2.014925,-0.9705966499999998,0.0,0.0
Copper,2020,Australia,Primary,32.683,4.572,8.507,14.703,6.594,2.88,0.015,0.3,0.004,0.028,0.317,0.579,2.0,Downcycled,284.3,Air,48.0,0.48,0.222,6.953,0.295,0,0.985,0.004,0.996,0.9905,2.0,6.75,-5.685875,0.0,0.0
Copper,2020,India,Secondary,8.283,1.182,0.213,1.198,0.258,6.614,0.58,0.863,0.501,2.163,0.444,0.289,11.0,Recycled,92.7,Rail,30.3,0.303,0.403,4.317,0.56,0,0.42,0.501,0.499,0.4595,11.0,1.227273,0.4360680564999999,0.436068,43.61
Zinc,2019,Chile,Primary,31.656,4.646,7.326,14.494,5.064,4.772,0.007,0.3,0.002,0.005,0.503,0.291,1.3,Landfill,6.1,Rail,42.3,0.423,0.249,2.42,0.281,0,0.993,0.002,0.998,0.9955,1.3,10.384615,-9.3378842325,0.0,0.0
Aluminium,2021,Brazil,Secondary,6.67,0.646,0.262,0.493,0.312,5.602,0.828,0.802,0.664,0.819,0.727,0.275,3.9,Recycled,330.4,Truck+Ship,33.1,0.331,0.126,1.233,0.65,0,0.172,0.664,0.336,0.254,3.9,3.461538,0.12076934799999994,0.120769,12.08
Copper,2024,India,Secondary,8.982,1.117,0.514,0.592,0.613,7.263,0.737,0.742,0.547,3.116,0.553,0.585,15.5,Landfill,41.1,Truck,35.1,0.351,0.329,5.696,0.618,0,0.263,0.547,0.453,0.358,15.5,0.870968,0.688193456,0.688193,68.82
